INCIDENT_NUMBER,OFFENSE_DESCRIPTION,SHOOTING,OCCURRED_ON_DATE,DAY_OF_WEEK,HOUR,STREET
202919303,VANDALISM,0,2020-03-09 14:00:00,Monday,14,WASHINGTON ST
202919303,VANDALISM,0,2020-03-09 14:00:00,Monday,14,WASHINGTON ST
202919303,VANDALISM,0,2020-03-09 14:00:00,Monday,14,WASHINGTON ST
202919303,VANDALISM,0,2020-03-09 14:00:00,Monday,14,WASHINGTON ST
202126421,M/V - LEAVING SCENE - PERSONAL INJURY,0,2020-03-09 20:08:00,Monday,20,HARRISON AVE
2020I6851,VANDALISM,0,2020-03-07 00:00:00,Saturday,0,N CRESCENT CIRT
2020I6851,VANDALISM,0,2020-03-07 00:00:00,Saturday,0,N CRESCENT CIRT
2020I6851,VANDALISM,0,2020-03-07 00:00:00,Saturday,0,N CRESCENT CIRT
2020I6851,VANDALISM,0,2020-03-07 00:00:00,Saturday,0,N CRESCENT CIRT
2020I6851,VANDALISM,0,2020-03-07 00:00:00,Saturday,0,N CRESCENT CIRT
2020I6851,VANDALISM,0,2020-03-07 00:00:00,Saturday,0,N CRESCENT CIRT
202086592,FRAUD - IMPERSONATION,0,2020-03-01 00:01:00,Sunday,0,WASHINGTON ST
202086442,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-21 00:00:00,Saturday,0,BLUE HILL AVE
202086442,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-21 00:00:00,Saturday,0,BLUE HILL AVE
202086442,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-21 00:00:00,Saturday,0,BLUE HILL AVE
202086442,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-21 00:00:00,Saturday,0,BLUE HILL AVE
202086442,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-21 00:00:00,Saturday,0,BLUE HILL AVE
202086442,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-21 00:00:00,Saturday,0,BLUE HILL AVE
202082879,INVESTIGATE PERSON,0,2020-03-15 23:00:00,Sunday,23,WASHINGTON ST
202082743,OBSCENE MATERIALS - PORNOGRAPHY,0,2020-03-30 12:29:00,Monday,12,COMMONWEALTH AVE
202082743,OBSCENE MATERIALS - PORNOGRAPHY,0,2020-03-30 12:29:00,Monday,12,COMMONWEALTH AVE
202082743,OBSCENE MATERIALS - PORNOGRAPHY,0,2020-03-30 12:29:00,Monday,12,COMMONWEALTH AVE
202080938,INVESTIGATE PROPERTY,0,2020-03-01 12:00:00,Sunday,12,NEW SUDBURY ST
202080938,INVESTIGATE PROPERTY,0,2020-03-01 12:00:00,Sunday,12,NEW SUDBURY ST
202079194,HARASSMENT/ CRIMINAL HARASSMENT,0,2020-03-05 12:00:00,Thursday,12,WASHINGTON ST
202079194,HARASSMENT/ CRIMINAL HARASSMENT,0,2020-03-05 12:00:00,Thursday,12,WASHINGTON ST
202079194,HARASSMENT/ CRIMINAL HARASSMENT,0,2020-03-05 12:00:00,Thursday,12,WASHINGTON ST
202079194,HARASSMENT/ CRIMINAL HARASSMENT,0,2020-03-05 12:00:00,Thursday,12,WASHINGTON ST
202079194,HARASSMENT/ CRIMINAL HARASSMENT,0,2020-03-05 12:00:00,Thursday,12,WASHINGTON ST
202079162,FORGERY / COUNTERFEITING,0,2020-03-25 12:00:00,Wednesday,12,WASHINGTON ST
202079162,FORGERY / COUNTERFEITING,0,2020-03-25 12:00:00,Wednesday,12,WASHINGTON ST
202079114,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-21 13:48:00,Saturday,13,SELDEN ST
202079114,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-21 13:48:00,Saturday,13,SELDEN ST
202079114,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-21 13:48:00,Saturday,13,SELDEN ST
202079114,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-21 13:48:00,Saturday,13,SELDEN ST
202079114,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-21 13:48:00,Saturday,13,SELDEN ST
202079114,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-21 13:48:00,Saturday,13,SELDEN ST
202079114,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-21 13:48:00,Saturday,13,SELDEN ST
202079114,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-21 13:48:00,Saturday,13,SELDEN ST
202079114,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-21 13:48:00,Saturday,13,SELDEN ST
202076341,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-02 00:00:00,Monday,0,W BROADWAY
202076341,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-02 00:00:00,Monday,0,W BROADWAY
202076341,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-02 00:00:00,Monday,0,W BROADWAY
202076341,FRAUD - CREDIT CARD / ATM FRAUD,0,2020-03-02 00:00:00,Monday,0,W BROADWAY
202076262,FRAUD - IMPERSONATION,0,2020-03-16 00:01:00,Monday,0,WASHINGTON ST
202076024,M/V PLATES - LOST,0,2020-03-01 17:01:00,Sunday,17,GIBSON ST
202075667,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-01 00:01:00,Sunday,0,WASHINGTON ST
202075657,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-01 00:01:00,Sunday,0,WASHINGTON ST
202075657,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-01 00:01:00,Sunday,0,WASHINGTON ST
202073491,LARCENY THEFT FROM BUILDING,0,2020-03-16 15:10:00,Monday,15,E FOURTH STREET
202073491,LARCENY THEFT FROM BUILDING,0,2020-03-16 15:10:00,Monday,15,E FOURTH STREET
202073491,LARCENY THEFT FROM BUILDING,0,2020-03-16 15:10:00,Monday,15,E FOURTH STREET
202073491,LARCENY THEFT FROM BUILDING,0,2020-03-16 15:10:00,Monday,15,E FOURTH STREET
202073434,LARCENY THEFT OF MV PARTS & ACCESSORIES,0,2020-03-01 12:00:00,Sunday,12,GIBSON ST
202071111,INVESTIGATE PROPERTY,0,2020-03-29 00:00:00,Sunday,0,E BROADWAY
202071111,INVESTIGATE PROPERTY,0,2020-03-29 00:00:00,Sunday,0,E BROADWAY
202071111,INVESTIGATE PROPERTY,0,2020-03-29 00:00:00,Sunday,0,E BROADWAY
202071111,INVESTIGATE PROPERTY,0,2020-03-29 00:00:00,Sunday,0,E BROADWAY
202069360,INVESTIGATE PERSON,0,2020-03-01 00:00:00,Sunday,0,COMMONWEALTH AVE
202069360,INVESTIGATE PERSON,0,2020-03-01 00:00:00,Sunday,0,COMMONWEALTH AVE
202069360,INVESTIGATE PERSON,0,2020-03-01 00:00:00,Sunday,0,COMMONWEALTH AVE
202069360,INVESTIGATE PERSON,0,2020-03-01 00:00:00,Sunday,0,COMMONWEALTH AVE
202067769,PROPERTY - LOST/ MISSING,0,2020-03-13 15:57:00,Friday,15,NEW SUDBURY ST
202067769,PROPERTY - LOST/ MISSING,0,2020-03-13 15:57:00,Friday,15,NEW SUDBURY ST
202067769,PROPERTY - LOST/ MISSING,0,2020-03-13 15:57:00,Friday,15,NEW SUDBURY ST
202067769,PROPERTY - LOST/ MISSING,0,2020-03-13 15:57:00,Friday,15,NEW SUDBURY ST
202067769,PROPERTY - LOST/ MISSING,0,2020-03-13 15:57:00,Friday,15,NEW SUDBURY ST
202067540,FRAUD - IMPERSONATION,0,2020-03-01 00:00:00,Sunday,0,HYDE PARK AVE
202067540,FRAUD - IMPERSONATION,0,2020-03-01 00:00:00,Sunday,0,HYDE PARK AVE
202067540,FRAUD - IMPERSONATION,0,2020-03-01 00:00:00,Sunday,0,HYDE PARK AVE
202065969,PROPERTY - LOST/ MISSING,0,2020-03-02 14:00:00,Monday,14,SUDBURY ST
202065969,PROPERTY - LOST/ MISSING,0,2020-03-02 14:00:00,Monday,14,SUDBURY ST
202065520,AUTO THEFT,0,2020-03-20 15:00:00,Friday,15,BLUE HILL AVENUE
202065520,AUTO THEFT,0,2020-03-20 15:00:00,Friday,15,BLUE HILL AVENUE
202065360,ASSAULT - AGGRAVATED,0,2020-03-07 09:40:00,Saturday,9,ELM HILL AVE
202065360,ASSAULT - AGGRAVATED,0,2020-03-07 09:40:00,Saturday,9,ELM HILL AVE
202065360,ASSAULT - AGGRAVATED,0,2020-03-07 09:40:00,Saturday,9,ELM HILL AVE
202065360,ASSAULT - AGGRAVATED,0,2020-03-07 09:40:00,Saturday,9,ELM HILL AVE
202065360,ASSAULT - AGGRAVATED,0,2020-03-07 09:40:00,Saturday,9,ELM HILL AVE
202065360,ASSAULT - AGGRAVATED,0,2020-03-07 09:40:00,Saturday,9,ELM HILL AVE
202065360,ASSAULT - AGGRAVATED,0,2020-03-07 09:40:00,Saturday,9,ELM HILL AVE
202065360,ASSAULT - AGGRAVATED,0,2020-03-07 09:40:00,Saturday,9,ELM HILL AVE
202063449,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-21 00:00:00,Saturday,0,EIGHTH ST
202063449,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-21 00:00:00,Saturday,0,EIGHTH ST
202063449,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-21 00:00:00,Saturday,0,EIGHTH ST
202063449,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-21 00:00:00,Saturday,0,EIGHTH ST
202063449,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-21 00:00:00,Saturday,0,EIGHTH ST
202063449,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-21 00:00:00,Saturday,0,EIGHTH ST
202063449,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-21 00:00:00,Saturday,0,EIGHTH ST
202063449,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-21 00:00:00,Saturday,0,EIGHTH ST
202062264,INVESTIGATE PERSON,0,2020-03-01 00:00:00,Sunday,0,NEW SUDBURY ST
202062205,PROPERTY - LOST/ MISSING,0,2020-03-30 15:00:00,Monday,15,GIBSON ST
202062205,PROPERTY - LOST/ MISSING,0,2020-03-30 15:00:00,Monday,15,GIBSON ST
202062205,PROPERTY - LOST/ MISSING,0,2020-03-30 15:00:00,Monday,15,GIBSON ST
202061196,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,0,2020-03-02 21:30:00,Monday,21,PIERCE ST
202059702,LARCENY THEFT FROM BUILDING,0,2020-03-05 09:00:00,Thursday,9,WALBRIDGE ST
202059702,LARCENY THEFT FROM BUILDING,0,2020-03-05 09:00:00,Thursday,9,WALBRIDGE ST
202059702,LARCENY THEFT FROM BUILDING,0,2020-03-05 09:00:00,Thursday,9,WALBRIDGE ST
202059702,LARCENY THEFT FROM BUILDING,0,2020-03-05 09:00:00,Thursday,9,WALBRIDGE ST
202059380,LARCENY THEFT FROM BUILDING,0,2020-03-10 12:00:00,Tuesday,12,CAMBRIDGE ST
202059380,LARCENY THEFT FROM BUILDING,0,2020-03-10 12:00:00,Tuesday,12,CAMBRIDGE ST
202058898,PROPERTY - LOST/ MISSING,0,2020-03-04 12:00:00,Wednesday,12,WASHINGTON ST
202056735,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-17 09:00:00,Tuesday,9,NEW SUDBURY ST
202056735,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-17 09:00:00,Tuesday,9,NEW SUDBURY ST
202056474,FRAUD - IMPERSONATION,0,2020-03-14 00:00:00,Saturday,0,GIBSON ST
202056474,FRAUD - IMPERSONATION,0,2020-03-14 00:00:00,Saturday,0,GIBSON ST
202056474,FRAUD - IMPERSONATION,0,2020-03-14 00:00:00,Saturday,0,GIBSON ST
202055540,M/V PLATES - LOST,0,2020-03-10 00:00:00,Tuesday,0,BLUE HILL AVENUE
202055540,M/V PLATES - LOST,0,2020-03-10 00:00:00,Tuesday,0,BLUE HILL AVENUE
202054546,HARASSMENT/ CRIMINAL HARASSMENT,0,2020-03-19 09:00:00,Thursday,9,BLUE HILL AVE
202054546,HARASSMENT/ CRIMINAL HARASSMENT,0,2020-03-19 09:00:00,Thursday,9,BLUE HILL AVE
202054546,HARASSMENT/ CRIMINAL HARASSMENT,0,2020-03-19 09:00:00,Thursday,9,BLUE HILL AVE
202054522,LARCENY ALL OTHERS,0,2020-03-26 09:00:00,Thursday,9,BLUE HILL AVE
202054522,LARCENY ALL OTHERS,0,2020-03-26 09:00:00,Thursday,9,BLUE HILL AVE
202054005,THREATS TO DO BODILY HARM,0,2020-03-04 00:00:00,Wednesday,0,WASHINGTON ST
202054005,THREATS TO DO BODILY HARM,0,2020-03-04 00:00:00,Wednesday,0,WASHINGTON ST
202053693,INVESTIGATE PERSON,0,2020-03-15 00:00:00,Sunday,0,ADAMS ST
202053693,INVESTIGATE PERSON,0,2020-03-15 00:00:00,Sunday,0,ADAMS ST
202053376,Fondling - Indecent Assault,0,2020-03-01 08:00:00,Sunday,8,COMMONWEALTH AVE
202053376,Fondling - Indecent Assault,0,2020-03-01 08:00:00,Sunday,8,COMMONWEALTH AVE
202053369,Fondling - Indecent Assault,0,2020-03-01 08:00:00,Sunday,8,COMMONWEALTH AVE
202053369,Fondling - Indecent Assault,0,2020-03-01 08:00:00,Sunday,8,COMMONWEALTH AVE
202053369,Fondling - Indecent Assault,0,2020-03-01 08:00:00,Sunday,8,COMMONWEALTH AVE
202053369,Fondling - Indecent Assault,0,2020-03-01 08:00:00,Sunday,8,COMMONWEALTH AVE
202051767,LARCENY ALL OTHERS,0,2020-03-09 09:57:00,Monday,9,VINE ST
202051767,LARCENY ALL OTHERS,0,2020-03-09 09:57:00,Monday,9,VINE ST
202051767,LARCENY ALL OTHERS,0,2020-03-09 09:57:00,Monday,9,VINE ST
202051359,FRAUD - WIRE,0,2020-03-16 19:08:00,Monday,19,DUNSTABLE ST
202051359,FRAUD - WIRE,0,2020-03-16 19:08:00,Monday,19,DUNSTABLE ST
202051359,FRAUD - WIRE,0,2020-03-16 19:08:00,Monday,19,DUNSTABLE ST
202049644,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-08 09:00:00,Sunday,9,BLUE HILL AVE
202049644,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-08 09:00:00,Sunday,9,BLUE HILL AVE
202049457,BURGLARY - RESIDENTIAL,0,2020-03-01 00:00:00,Sunday,0,HARRISON AVE
202049457,BURGLARY - RESIDENTIAL,0,2020-03-01 00:00:00,Sunday,0,HARRISON AVE
202049457,BURGLARY - RESIDENTIAL,0,2020-03-01 00:00:00,Sunday,0,HARRISON AVE
202048097,FRAUD - IMPERSONATION,0,2020-03-02 11:35:00,Monday,11,FAN PIER BLVD
202047612,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-10 00:00:00,Tuesday,0,ORTON-MAROTTA WAY
202047612,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-10 00:00:00,Tuesday,0,ORTON-MAROTTA WAY
202046753,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-01 09:00:00,Sunday,9,HARRISON AVE
202046250,LARCENY THEFT FROM BUILDING,0,2020-03-09 00:00:00,Monday,0,GIBSON ST
202046250,LARCENY THEFT FROM BUILDING,0,2020-03-09 00:00:00,Monday,0,GIBSON ST
202046250,LARCENY THEFT FROM BUILDING,0,2020-03-09 00:00:00,Monday,0,GIBSON ST
202046250,LARCENY THEFT FROM BUILDING,0,2020-03-09 00:00:00,Monday,0,GIBSON ST
202045919,LARCENY THEFT OF MV PARTS & ACCESSORIES,0,2020-03-31 00:00:00,Tuesday,0,CHESTNUT AVE
202045919,LARCENY THEFT OF MV PARTS & ACCESSORIES,0,2020-03-31 00:00:00,Tuesday,0,CHESTNUT AVE
202045701,INVESTIGATE PROPERTY,0,2020-03-04 11:56:00,Wednesday,11,CENTRE ST
202045402,ASSAULT - SIMPLE,0,2020-03-31 07:00:00,Tuesday,7,HARRISON AVE
202045402,ASSAULT - SIMPLE,0,2020-03-31 07:00:00,Tuesday,7,HARRISON AVE
202044936,PROPERTY - FOUND,0,2020-03-09 12:57:00,Monday,12,SCHROEDER PLZ
202044936,PROPERTY - FOUND,0,2020-03-09 12:57:00,Monday,12,SCHROEDER PLZ
202044935,PROPERTY - FOUND,0,2020-03-22 20:00:00,Sunday,20,SCHROEDER PLZ
202044932,PROPERTY - FOUND,0,2020-03-02 18:30:00,Monday,18,SCHROEDER PLZ
202044931,PROPERTY - FOUND,0,2020-03-02 00:00:00,Monday,0,SCHROEDER PLZ
202044931,PROPERTY - FOUND,0,2020-03-02 00:00:00,Monday,0,SCHROEDER PLZ
202044928,PROPERTY - FOUND,0,2020-03-05 16:15:00,Thursday,16,SCHROEDER PLZ
202044925,PROPERTY - FOUND,0,2020-03-07 03:30:00,Saturday,3,SCHROEDER PLZ
202044925,PROPERTY - FOUND,0,2020-03-07 03:30:00,Saturday,3,SCHROEDER PLZ
202044925,PROPERTY - FOUND,0,2020-03-07 03:30:00,Saturday,3,SCHROEDER PLZ
202044925,PROPERTY - FOUND,0,2020-03-07 03:30:00,Saturday,3,SCHROEDER PLZ
202044925,PROPERTY - FOUND,0,2020-03-07 03:30:00,Saturday,3,SCHROEDER PLZ
202044925,PROPERTY - FOUND,0,2020-03-07 03:30:00,Saturday,3,SCHROEDER PLZ
202044925,PROPERTY - FOUND,0,2020-03-07 03:30:00,Saturday,3,SCHROEDER PLZ
202044925,PROPERTY - FOUND,0,2020-03-07 03:30:00,Saturday,3,SCHROEDER PLZ
202044925,PROPERTY - FOUND,0,2020-03-07 03:30:00,Saturday,3,SCHROEDER PLZ
202044920,PROPERTY - FOUND,0,2020-03-17 00:00:00,Tuesday,0,SCHROEDER PLZ
202044920,PROPERTY - FOUND,0,2020-03-17 00:00:00,Tuesday,0,SCHROEDER PLZ
202044680,PROPERTY - LOST/ MISSING,0,2020-03-25 00:00:00,Wednesday,0,MAIN ST
202044680,PROPERTY - LOST/ MISSING,0,2020-03-25 00:00:00,Wednesday,0,MAIN ST
202044680,PROPERTY - LOST/ MISSING,0,2020-03-25 00:00:00,Wednesday,0,MAIN ST
202044641,LARCENY THEFT FROM BUILDING,0,2020-03-19 14:50:00,Thursday,14,A ST
202044641,LARCENY THEFT FROM BUILDING,0,2020-03-19 14:50:00,Thursday,14,A ST
202044641,LARCENY THEFT FROM BUILDING,0,2020-03-19 14:50:00,Thursday,14,A ST
202044641,LARCENY THEFT FROM BUILDING,0,2020-03-19 14:50:00,Thursday,14,A ST
202044386,PROPERTY - LOST/ MISSING,0,2020-03-12 00:00:00,Thursday,0,NEW SUDBURY ST
202043469,FORGERY / COUNTERFEITING,0,2020-03-11 16:26:00,Wednesday,16,GARDENSIDE ST
202043469,FORGERY / COUNTERFEITING,0,2020-03-11 16:26:00,Wednesday,16,GARDENSIDE ST
202043469,FORGERY / COUNTERFEITING,0,2020-03-11 16:26:00,Wednesday,16,GARDENSIDE ST
202043219,PROPERTY - LOST/ MISSING,0,2020-03-01 09:00:00,Sunday,9,BLUE HILL AVE
202042830,MISSING PERSON,0,2020-03-23 12:00:00,Monday,12,NEW SUDBURY ST
202042830,MISSING PERSON,0,2020-03-23 12:00:00,Monday,12,NEW SUDBURY ST
202042830,MISSING PERSON,0,2020-03-23 12:00:00,Monday,12,NEW SUDBURY ST
202042658,PROPERTY - LOST/ MISSING,0,2020-03-20 00:00:00,Friday,0,GIBSON ST
202042658,PROPERTY - LOST/ MISSING,0,2020-03-20 00:00:00,Friday,0,GIBSON ST
202042344,OBSCENE MATERIALS - PORNOGRAPHY,0,2020-03-13 03:02:00,Friday,3,US-76
202042126,VAL - OPERATING W/O AUTHORIZATION LAWFUL,0,2020-03-16 00:00:00,Monday,0,GIBSON ST
202042126,VAL - OPERATING W/O AUTHORIZATION LAWFUL,0,2020-03-16 00:00:00,Monday,0,GIBSON ST
202042102,AUTO THEFT,0,2020-03-24 12:00:00,Tuesday,12,CLARENDON ST
202042102,AUTO THEFT,0,2020-03-24 12:00:00,Tuesday,12,CLARENDON ST
202042046,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-12 10:48:00,Thursday,10,FENWAY
202042046,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-12 10:48:00,Thursday,10,FENWAY
202042046,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-12 10:48:00,Thursday,10,FENWAY
202042046,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-12 10:48:00,Thursday,10,FENWAY
202042046,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-12 10:48:00,Thursday,10,FENWAY
20204197,ASSAULT - SIMPLE,0,2020-03-31 19:40:00,Tuesday,19,WASHINGTON ST
20204197,ASSAULT - SIMPLE,0,2020-03-31 19:40:00,Tuesday,19,WASHINGTON ST
202041132,PROPERTY - LOST/ MISSING,0,2020-03-01 00:00:00,Sunday,0,HYDE PARK AVE
202041132,PROPERTY - LOST/ MISSING,0,2020-03-01 00:00:00,Sunday,0,HYDE PARK AVE
202041002,FRAUD - IMPERSONATION,0,2020-03-08 13:07:00,Sunday,13,WASHINGTON ST
202040786,OBSCENE MATERIALS - PORNOGRAPHY,0,2020-03-30 04:48:00,Monday,4,COMMONWEALTH AVE
202040786,OBSCENE MATERIALS - PORNOGRAPHY,0,2020-03-30 04:48:00,Monday,4,COMMONWEALTH AVE
202039938,FRAUD - IMPERSONATION,0,2020-03-01 17:39:00,Sunday,17,ESMOND ST
202039876,LARCENY THEFT FROM BUILDING,0,2020-03-25 15:00:00,Wednesday,15,WASHINGTON ST
202039876,LARCENY THEFT FROM BUILDING,0,2020-03-25 15:00:00,Wednesday,15,WASHINGTON ST
202038475,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-15 00:00:00,Sunday,0,W BROADWAY
202038475,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-15 00:00:00,Sunday,0,W BROADWAY
202038475,FRAUD - FALSE PRETENSE / SCHEME,0,2020-03-15 00:00:00,Sunday,0,W BROADWAY
202038402,LARCENY THEFT FROM BUILDING,0,2020-03-10 13:30:00,Tuesday,13,HYDE PARK AVE
202038402,LARCENY THEFT FROM BUILDING,0,2020-03-10 13:30:00,Tuesday,13,HYDE PARK AVE
202038105,FRAUD - IMPERSONATION,0,2020-03-02 08:00:00,Monday,8,BLUE HILL AVENUE
202038105,FRAUD - IMPERSONATION,0,2020-03-02 08:00:00,Monday,8,BLUE HILL AVENUE
202037610,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037610,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037610,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037610,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037610,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037610,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037609,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037609,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037609,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037609,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037609,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
202037609,LARCENY THEFT FROM MV - NON-ACCESSORY,0,2020-03-07 00:01:00,Saturday,0,TOWNSEND ST
